symbol	n_wheels	wheels	sos
__ieee_arithmetic_MOD_ieee_get_rounding_mode	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_get_underflow_mode	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_round_type_eq	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_round_type_ne	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_selected_real_kind	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_set_rounding_mode	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_set_underflow_mode	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_support_datatype_10	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_support_datatype_16	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_support_datatype_4	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
__ieee_arithmetic_MOD_ieee_support_datatype_8	3	faiss_cpu,numpy,scipy	libgfortran-040039e1-0352e75f.so.5.0.0,libgfortran-83c28eba.so.5.0.0,libgfortran-8f1e9814.so.5.0.0
